Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdiplus.dll

File Type: DLL

  Section contains the following exports for gdiplus.dll

    00000000 characteristics
    403E3D73 time date stamp Fri Feb 27 02:39:47 2004
        0.00 version
           1 ordinal base
         609 number of functions
         609 number of names

    ordinal hint RVA      name

        241   F0 0009C856 GdipGetCustomLineCapStrokeCaps
        242   F1 0009C920 GdipGetCustomLineCapStrokeJoin
        243   F2 0009C7BA GdipGetCustomLineCapType
        244   F3 0009CBEF GdipGetCustomLineCapWidthScale
        245   F4 0005AE61 GdipGetDC
        246   F5 0000A6B6 GdipGetDpiX
        247   F6 00039B79 GdipGetDpiY
        248   F7 0003A1E6 GdipGetEmHeight
        249   F8 0009D298 GdipGetEncoderParameterList
        250   F9 0009D215 GdipGetEncoderParameterListSize
        251   FA 0005002A GdipGetFamily
        252   FB 000455C0 GdipGetFamilyName
        253   FC 00001660 GdipGetFontCollectionFamilyCount
        254   FD 00001739 GdipGetFontCollectionFamilyList
        255   FE 0004084E GdipGetFontHeight
        256   FF 000A3D8D GdipGetFontHeightGivenDPI
        257  100 000500F4 GdipGetFontSize
        258  101 00050159 GdipGetFontStyle
        259  102 0005008F GdipGetFontUnit
        260  103 000A3C67 GdipGetGenericFontFamilyMonospace
        261  104 000A3BF1 GdipGetGenericFontFamilySansSerif
        262  105 000A3C2C GdipGetGenericFontFamilySerif
        263  106 0009A10E GdipGetHatchBackgroundColor
        264  107 0009A073 GdipGetHatchForegroundColor
        265  108 00099FD8 GdipGetHatchStyle
        266  109 000A2ED6 GdipGetHemfFromMetafile
        267  10A 0009ED21 GdipGetImageAttributesAdjustedPalette
        268  10B 0001584C GdipGetImageBounds
        269  10C 000A3816 GdipGetImageDecoders
        270  10D 000A37B3 GdipGetImageDecodersSize
        271  10E 0009DC69 GdipGetImageDimension
        272  10F 000A3A35 GdipGetImageEncoders
        273  110 000A39D2 GdipGetImageEncodersSize
        274  111 0009DE5D GdipGetImageFlags
        275  112 0003CEA8 GdipGetImageGraphicsContext
        276  113 0003DEB2 GdipGetImageHeight
        277  114 0009DD0B GdipGetImageHorizontalResolution
        278  115 0009DF06 GdipGetImagePalette
        279  116 0009E041 GdipGetImagePaletteSize
        280  117 000409A3 GdipGetImagePixelFormat
        281  118 00040921 GdipGetImageRawFormat
        282  119 0000509D GdipGetImageThumbnail
        283  11A 0009E0FB GdipGetImageType
        284  11B 0009DDB4 GdipGetImageVerticalResolution
        285  11C 0003DE34 GdipGetImageWidth
        286  11D 0009F3AB GdipGetInterpolationMode
        287  11E 0009A6B2 GdipGetLineBlend
        288  11F 0009A617 GdipGetLineBlendCount
        289  120 0009A55C GdipGetLineColors
        290  121 00095A67 GdipGetLineGammaCorrection
        291  122 0009A80A GdipGetLinePresetBlend
        292  123 0009A76B GdipGetLinePresetBlendCount
        293  124 00011122 GdipGetLineRect
        294  125 0009AE2B GdipGetLineRectI
        295  126 0003A268 GdipGetLineSpacing
        296  127 0009A1A9 GdipGetLineTransform
        297  128 0009A973 GdipGetLineWrapMode
        298  129 000A3CA2 GdipGetLogFontA
        299  12A 000506E3 GdipGetLogFontW
