Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdi32.dll

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    55A5AF62 time date stamp Wed Jul 15 08:54:58 2015
        0.00 version
        1000 ordinal base
        1001 number of functions
         861 number of names

    ordinal hint RVA      name

       1475  1CE 00041670 GdiFlush
       1476  1CF 0004FF60 GdiFullscreenControl
       1477  1D0 000874C0 GdiGetBatchLimit
       1478  1D1 000413B0 GdiGetBitmapBitsSize
       1479  1D2 00041820 GdiGetCharDimensions
       1480  1D3 00042190 GdiGetCodePage
       1481  1D4 0004C120 GdiGetDC
       1482  1D5 00049AE0 GdiGetDevmodeForPage
       1483  1D6 000823C0 GdiGetLocalBrush
       1484  1D7 000823C0 GdiGetLocalDC
       1485  1D8 000823C0 GdiGetLocalFont
       1486  1D9 00089FA0 GdiGetPageCount
       1487  1DA 00049A00 GdiGetPageHandle
       1488  1DB 00048DB0 GdiGetSpoolFileHandle
       1489  1DC 000501E0 GdiGetSpoolMessage
       1490  1DD 00042880 GdiGradientFill
       1491  1DE 000502C0 GdiInitSpool
       1492  1DF 0001A210 GdiInitializeLanguagePack
       1493  1E0 000823D0 GdiIsMetaFileDC
       1494  1E1 00082430 GdiIsMetaPrintDC
       1495  1E2 00081CE0 GdiIsPlayMetafileDC
       1496  1E3 00085D70 GdiIsScreenDC
       1497  1E4 000473B0 GdiIsUMPDSandboxingEnabled
       1498  1E5 0004CF60 GdiLoadType1Fonts
       1499  1E6 00051C60 GdiPlayDCScript
       1500  1E7 0008A020 GdiPlayEMF
       1501  1E8 00051C60 GdiPlayJournal
       1502  1E9 0004A030 GdiPlayPageEMF
       1503  1EA 0008A1A0 GdiPlayPrivatePageEMF
       1504  1EB 00051C60 GdiPlayScript
       1505  1EC 000477B0 GdiPrinterThunk
       1506  1ED 00019DE0 GdiProcessSetup
       1507  1EE 00050400 GdiQueryFonts
       1508  1EF 00082480 GdiQueryTable
       1509  1F0 00028150 GdiRealizationInfo
       1510  1F1 0003EBF0 GdiReleaseDC
       1511  1F2 0004CFE0 GdiReleaseLocalDC
       1512  1F3 0008A1E0 GdiResetDCEMF
       1513  1F4 0004CFE0 GdiSetAttrs
       1514  1F5 000874D0 GdiSetBatchLimit
       1515  1F6 00085DF0 GdiSetLastError
       1516  1F7 00088D90 GdiSetPixelFormat
       1517  1F8 0004D390 GdiSetServerAttr
       1518  1F9 00049730 GdiStartDocEMF
       1519  1FA 0004BC70 GdiStartPageEMF
       1520  1FB 0004CFE0 GdiSupportsFontChangeEvent
       1521  1FC 00088DA0 GdiSwapBuffers
       1522  1FD 00011570 GdiTransparentBlt
       1523  1FE 00044140 GdiValidateHandle
       1524  1FF 00073FC0 GetArcDirection
       1525  200 00073FE0 GetAspectRatioFilterEx
       1526  201 00073A10 GetBitmapAttributes
       1527  202 000118D0 GetBitmapBits
       1528  203 00085E10 GetBitmapDimensionEx
       1529  204 00042820 GetBkColor
       1530  205 0001FF70 GetBkMode
       1531  206 00045820 GetBoundsRect
       1532  207 00073A10 GetBrushAttributes
       1533  208 000443C0 GetBrushOrgEx
       1534  209 0004FF80 GetCOPPCompatibleOPMInformation
       1535  20A 0004FF90 GetCertificate
       1536  20B 0004FFA0 GetCertificateSize
       1537  20C 00074000 GetCharABCWidthsA
       1538  20D 00074020 GetCharABCWidthsFloatA
       1539  20E 00074040 GetCharABCWidthsFloatW
       1540  20F 00074060 GetCharABCWidthsI
       1541  210 00074090 GetCharABCWidthsW
       1542  211 000740B0 GetCharWidth32A
       1543  212 000740D0 GetCharWidth32W
